date,geography,geography code,Rural Urban,Sex: All persons; Economic Activity: All usual residents aged 16 to 74; measures: Value,Sex: All persons; Economic Activity: Economically active; measures: Value,Sex: All persons; Economic Activity: Economically active: In employment; measures: Value,Sex: All persons; Economic Activity: Economically active: Employee: Part-time; measures: Value,Sex: All persons; Economic Activity: Economically active: Employee: Full-time; measures: Value,Sex: All persons; Economic Activity: Economically active: Self-employed; measures: Value,Sex: All persons; Economic Activity: Economically active: Unemployed; measures: Value,Sex: All persons; Economic Activity: Economically active: Full-time student; measures: Value,Sex: All persons; Economic Activity: Economically Inactive; measures: Value,Sex: All persons; Economic Activity: Economically inactive: Retired; measures: Value,Sex: All persons; Economic Activity: Economically inactive: Student (including full-time students); measures: Value,Sex: All persons; Economic Activity: Economically inactive: Looking after home or family; measures: Value,Sex: All persons; Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value,Sex: All persons; Economic Activity: Economically inactive: Other; measures: Value,Sex: All persons; Economic Activity: Unemployed: Age 16 to 24; measures: Value,Sex: All persons; Economic Activity: Unemployed: Age 50 to 74; measures: Value,Sex: All persons; Economic Activity: Unemployed: Never worked; measures: Value,Sex: All persons; Economic Activity: Long-term unemployed; measures: Value,Sex: Males; Economic Activity: All usual residents aged 16 to 74; measures: Value,Sex: Males; Economic Activity: Economically active; measures: Value,Sex: Males; Economic Activity: Economically active: In employment; measures: Value,Sex: Males; Economic Activity: Economically active: Employee: Part-time; measures: Value,Sex: Males; Economic Activity: Economically active: Employee: Full-time; measures: Value,Sex: Males; Economic Activity: Economically active: Self-employed; measures: Value,Sex: Males; Economic Activity: Economically active: Unemployed; measures: Value,Sex: Males; Economic Activity: Economically active: Full-time student; measures: Value,Sex: Males; Economic Activity: Economically Inactive; measures: Value,Sex: Males; Economic Activity: Economically inactive: Retired; measures: Value,Sex: Males; Economic Activity: Economically inactive: Student (including full-time students); measures: Value,Sex: Males; Economic Activity: Economically inactive: Looking after home or family; measures: Value,Sex: Males; Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value,Sex: Males; Economic Activity: Economically inactive: Other; measures: Value,Sex: Males; Economic Activity: Unemployed: Age 16 to 24; measures: Value,Sex: Males; Economic Activity: Unemployed: Age 50 to 74; measures: Value,Sex: Males; Economic Activity: Unemployed: Never worked; measures: Value,Sex: Males; Economic Activity: Long-term unemployed; measures: Value,Sex: Females; Economic Activity: All usual residents aged 16 to 74; measures: Value,Sex: Females; Economic Activity: Economically active; measures: Value,Sex: Females; Economic Activity: Economically active: In employment; measures: Value,Sex: Females; Economic Activity: Economically active: Employee: Part-time; measures: Value,Sex: Females; Economic Activity: Economically active: Employee: Full-time; measures: Value,Sex: Females; Economic Activity: Economically active: Self-employed; measures: Value,Sex: Females; Economic Activity: Economically active: Unemployed; measures: Value,Sex: Females; Economic Activity: Economically active: Full-time student; measures: Value,Sex: Females; Economic Activity: Economically Inactive; measures: Value,Sex: Females; Economic Activity: Economically inactive: Retired; measures: Value,Sex: Females; Economic Activity: Economically inactive: Student (including full-time students); measures: Value,Sex: Females; Economic Activity: Economically inactive: Looking after home or family; measures: Value,Sex: Females; Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value,Sex: Females; Economic Activity: Economically inactive: Other; measures: Value,Sex: Females; Economic Activity: Unemployed: Age 16 to 24; measures: Value,Sex: Females; Economic Activity: Unemployed: Age 50 to 74; measures: Value,Sex: Females; Economic Activity: Unemployed: Never worked; measures: Value,Sex: Females; Economic Activity: Long-term unemployed; measures: Value,RowID
2011,Darlington,E06000005,Total,76635,53443,47487,11555,30337,5595,4002,1954,23192,12214,2742,3081,3737,1418,1260,724,629,1613,37750,27913,24665,2380,18336,3949,2427,821,9837,5385,1406,343,2080,623,820,457,385,900,38885,25530,22822,9175,12001,1646,1575,1133,13355,6829,1336,2738,1657,795,440,267,244,713,0
2011,County Durham,E06000047,Total,383796,247101,219826,50595,143922,25309,17013,10262,136695,65444,23837,14190,24887,8337,5615,2917,2989,6724,189631,129926,114999,10530,86456,18013,10397,4530,59705,28217,11944,1916,13423,4205,3511,1954,1774,3915,194165,117175,104827,40065,57466,7296,6616,5732,76990,37227,11893,12274,11464,4132,2104,963,1215,2809,1
2011,Hartlepool,E06000001,Total,66804,43513,36532,10092,22635,3805,5194,1787,23291,10621,3042,3265,4733,1630,1586,859,969,2089,32681,23108,19018,2012,14169,2837,3321,769,9573,4451,1517,437,2501,667,1017,640,571,1255,34123,20405,17514,8080,8466,968,1873,1018,13718,6170,1525,2828,2232,963,569,219,398,834,2
2011,Middlesbrough,E06000002,Total,100551,63582,51535,15063,31301,5171,7631,4416,36969,13922,7453,5569,6841,3184,2296,1273,1709,3070,49680,33801,26840,3476,19443,3921,4870,2091,15879,6179,4198,626,3517,1359,1465,938,999,1878,50871,29781,24695,11587,11858,1250,2761,2325,21090,7743,3255,4943,3324,1825,831,335,710,1192,3
2011,Northumberland,E06000057,Total,233224,158268,142811,34368,86380,22063,10329,5128,74956,43897,8108,8368,10321,4262,3102,2077,1535,4028,114193,82645,74197,6980,52097,15120,6277,2171,31548,18845,4066,894,5578,2165,1955,1369,911,2291,119031,75623,68614,27388,34283,6943,4052,2957,43408,25052,4042,7474,4743,2097,1147,708,624,1737,4
2011,Redcar and Cleveland,E06000003,Total,99177,63530,54558,15322,33372,5864,6533,2439,35647,19206,4142,4361,5869,2069,2052,1204,1225,2692,48311,33180,28037,2834,21058,4145,4150,993,15131,8728,2110,457,2979,857,1310,869,686,1666,50866,30350,26521,12488,12314,1719,2383,1446,20516,10478,2032,3904,2890,1212,742,335,539,1026,5
2011,Stockton-on-Tees,E06000004,Total,140654,96259,83938,22070,52927,8941,8075,4246,44395,20767,7277,5911,6861,3579,2431,1413,1464,3345,69407,50595,43579,4421,32670,6488,5146,1870,18812,8914,3811,624,3512,1951,1531,1041,876,2051,71247,45664,40359,17649,20257,2453,2929,2376,25583,11853,3466,5287,3349,1628,900,372,588,1294,6
2011,Gateshead,E08000037,Total,148079,100184,88817,21023,58988,8806,7419,3948,47895,23531,6832,5670,8844,3018,2157,1254,1235,2916,73080,52413,46106,4508,35193,6405,4645,1662,20667,10161,3555,732,4866,1353,1360,866,758,1739,74999,47771,42711,16515,23795,2401,2774,2286,27228,13370,3277,4938,3978,1665,797,388,477,1177,7
2011,Newcastle upon Tyne,E08000021,Total,212864,133848,108778,25835,69811,13132,10652,14418,79016,24571,29253,8868,11509,4815,2969,1788,2236,4119,107982,71558,57814,7072,41159,9583,6787,6957,36424,10566,16026,1149,6502,2181,1876,1282,1308,2558,104882,62290,50964,18763,28652,3549,3865,7461,42592,14005,13227,7719,5007,2634,1093,506,928,1561,8
2011,North Tyneside,E08000022,Total,147889,104242,92799,21815,61349,9635,7304,4139,43647,23497,5310,5048,7354,2438,1924,1505,1039,2965,71826,53906,47513,4515,36087,6911,4617,1776,17920,9787,2633,553,3904,1043,1194,1063,615,1779,76063,50336,45286,17300,25262,2724,2687,2363,25727,13710,2677,4495,3450,1395,730,442,424,1186,9
2011,South Tyneside,E08000023,Total,108981,72645,62266,15480,40838,5948,7145,3234,36336,17355,4611,4696,7234,2440,2114,1394,1240,2868,53324,38256,32443,3200,24942,4301,4301,1512,15068,7268,2326,530,3893,1051,1307,963,682,1600,55657,34389,29823,12280,15896,1647,2844,1722,21268,10087,2285,4166,3341,1389,807,431,558,1268,10
2011,Sunderland,E08000024,Total,205552,135467,116562,29186,75899,11477,12016,6889,70085,32215,10778,8666,14084,4342,3856,2028,2349,4678,100524,70773,60386,6282,45596,8508,7312,3075,29751,13282,5588,1178,7770,1933,2336,1384,1346,2745,105028,64694,56176,22904,30303,2969,4704,3814,40334,18933,5190,7488,6314,2409,1520,644,1003,1933,11
2011,Blackburn with Darwen,E06000008,Total,104417,67033,58129,14535,35597,7997,5575,3329,37384,13248,6065,7061,7378,3632,1627,808,1091,2219,52506,37430,32418,4846,21566,6006,3495,1517,15076,5817,3113,722,3971,1453,1010,575,592,1363,51911,29603,25711,9689,14031,1991,2080,1812,22308,7431,2952,6339,3407,2179,617,233,499,856,12
2011,Blackpool,E06000009,Total,103813,68540,59026,14836,34230,9960,6337,3177,35273,16807,3809,3943,8228,2486,1872,1081,801,2557,51856,35962,30494,3780,19724,6990,4101,1367,15894,7470,1882,657,4685,1200,1167,773,483,1621,51957,32578,28532,11056,14506,2970,2236,1810,19379,9337,1927,3286,3543,1286,705,308,318,936,13
2011,Cheshire East,E06000049,Total,270953,191253,174859,38940,106863,29056,8742,7652,79700,46446,11341,9591,8327,3995,2292,2075,1002,3412,134093,101124,92348,7627,64816,19905,5289,3487,32969,20247,5923,808,4306,1685,1415,1367,595,1991,136860,90129,82511,31313,42047,9151,3453,4165,46731,26199,5418,8783,4021,2310,877,708,407,1421,14
2011,Cheshire West and Chester,E06000050,Total,243155,170778,153704,36206,95642,21856,8949,8125,72377,39893,10746,8620,9574,3544,2520,1859,1028,3351,119291,89389,80417,6990,58455,14972,5522,3450,29902,17494,5133,814,4930,1531,1593,1226,606,1947,123864,81389,73287,29216,37187,6884,3427,4675,42475,22399,5613,7806,4644,2013,927,633,422,1404,15
2011,Halton,E06000006,Total,92708,63411,55741,13102,37219,5420,5151,2519,29297,13332,3858,3900,6451,1756,1648,878,799,1993,45544,33203,29129,2547,22547,4035,3047,1027,12341,5945,1894,484,3269,749,1020,567,459,1072,47164,30208,26612,10555,14672,1385,2104,1492,16956,7387,1964,3416,3182,1007,628,311,340,921,16
2011,Warrington,E06000007,Total,149461,107765,97274,21782,63875,11617,5961,4530,41696,22189,5441,4917,6063,3086,1759,1121,663,2263,74747,56706,50833,4247,38362,8224,3802,2071,18041,9603,2867,506,3213,1852,1122,765,405,1400,74714,51059,46441,17535,25513,3393,2159,2459,23655,12586,2574,4411,2850,1234,637,356,258,863,17
2011,Allerdale,E07000026,Total,70978,48904,44833,11615,25912,7306,2553,1518,22074,13422,2128,2274,3215,1035,781,482,378,992,35305,25890,23671,2025,16739,4907,1567,652,9415,5979,1048,265,1695,428,502,341,239,568,35673,23014,21162,9590,9173,2399,986,866,12659,7443,1080,2009,1520,607,279,141,139,424,18
2011,Barrow-in-Furness,E07000027,Total,51103,33897,30348,8470,18723,3155,2365,1184,17206,9168,1613,1813,3720,892,781,399,356,864,25633,18130,16192,1510,12486,2196,1433,505,7503,4107,808,212,2000,376,465,276,206,499,25470,15767,14156,6960,6237,959,932,679,9703,5061,805,1601,1720,516,316,123,150,365,19
2011,Carlisle,E07000028,Total,79531,57210,51767,13295,31161,7311,2847,2596,22321,12331,2778,2314,3711,1187,902,512,339,1112,39332,30206,27424,2538,19768,5118,1715,1067,9126,5211,1263,231,1926,495,570,337,203,656,40199,27004,24343,10757,11393,2193,1132,1529,13195,7120,1515,2083,1785,692,332,175,136,456,20
2011,Copeland,E07000029,Total,52702,35335,32184,7984,20525,3675,2235,916,17367,9657,1596,1922,2872,1320,716,437,403,816,26850,19049,17275,1385,13354,2536,1402,372,7801,4421,870,209,1510,791,465,311,260,472,25852,16286,14909,6599,7171,1139,833,544,9566,5236,726,1713,1362,529,251,126,143,344,21
2011,Eden,E07000030,Total,38735,28413,26527,6191,13651,6685,822,1064,10322,6822,1070,923,1067,440,256,215,62,268,19410,15072,14136,1081,8564,4491,473,463,4338,2913,567,91,567,200,164,132,45,141,19325,13341,12391,5110,5087,2194,349,601,5984,3909,503,832,500,240,92,83,17,127,22
2011,South Lakeland,E07000031,Total,75831,53396,49980,12015,26863,11102,1524,1892,22435,15457,2307,1769,1962,940,376,427,87,562,37484,27857,26107,2387,16373,7347,907,843,9627,6802,1219,153,1013,440,244,272,58,315,38347,25539,23873,9628,10490,3755,617,1049,12808,8655,1088,1616,949,500,132,155,29,247,23
2011,Bolton,E08000001,Total,200723,134933,118777,27798,74631,16348,9913,6243,65790,29514,10318,9504,11574,4880,3042,1595,1773,3929,99611,72275,63291,6892,44187,12212,6061,2923,27336,12813,5291,1069,6156,2007,1866,1120,989,2336,101112,62658,55486,20906,30444,4136,3852,3320,38454,16701,5027,8435,5418,2873,1176,475,784,1593,24
2011,Bury,E08000002,Total,134687,94680,85291,19118,53953,12220,5769,3620,40007,19558,6074,5168,6596,2611,1849,1007,968,2206,66221,49527,44293,4101,31255,8937,3662,1572,16694,8261,3185,543,3534,1171,1197,680,602,1336,68466,45153,40998,15017,22698,3283,2107,2048,23313,11297,2889,4625,3062,1440,652,327,366,870,25
2011,Manchester,E08000003,Total,382932,243224,194093,41535,128930,23628,21880,27251,139708,29179,53999,18697,25161,12672,5926,2859,4784,8453,194060,131648,105095,14129,73678,17288,13408,13145,62412,12717,28034,2279,13622,5760,3664,2056,2603,5086,188872,111576,88998,27406,55252,6340,8472,14106,77296,16462,25965,16418,11539,6912,2262,803,2181,3367,26
2011,Oldham,E08000004,Total,159765,106398,93015,22171,58410,12434,8661,4722,53367,22426,8135,9038,9209,4559,2788,1340,1575,3225,78782,57835,50197,6473,34098,9626,5448,2190,20947,9444,4116,885,4775,1727,1734,961,837,1980,80983,48563,42818,15698,24312,2808,3213,2532,32420,12982,4019,8153,4434,2832,1054,379,738,1245,27
2011,Rochdale,E08000005,Total,152742,101003,87821,20101,55604,12116,9047,4135,51739,20853,8025,7838,10446,4577,2821,1378,1614,3521,75211,53954,46563,4973,32262,9328,5571,1820,21257,8906,4053,873,5452,1973,1721,974,886,2063,77531,47049,41258,15128,23342,2788,3476,2315,30482,11947,3972,6965,4994,2604,1100,404,728,1458,28
2011,Salford,E08000006,Total,173117,118130,101014,21676,67966,11372,9041,8075,54987,20950,10093,7021,11915,5008,2630,1379,1587,3650,87667,62941,53229,5494,39234,8501,5732,3980,24726,9134,5281,918,6783,2610,1694,995,957,2239,85450,55189,47785,16182,28732,2871,3309,4095,30261,11816,4812,6103,5132,2398,936,384,630,1411,29
2011,Stockport,E08000007,Total,205310,146296,132659,29946,83049,19664,8002,5635,59014,31395,8674,7139,8527,3279,2221,1696,954,3165,101122,76559,68980,6139,48595,14246,5071,2508,24563,13401,4415,739,4532,1476,1436,1220,588,1963,104188,69737,63679,23807,34454,5418,2931,3127,34451,17994,4259,6400,3995,1803,785,476,366,1202,30
2011,Tameside,E08000008,Total,161459,111016,98945,21377,65546,12022,8052,4019,50443,23682,6865,6443,9970,3483,2580,1342,1271,3272,79917,58731,51894,4622,38283,8989,5075,1762,21186,10163,3408,745,5403,1467,1668,955,753,1982,81542,52285,47051,16755,27263,3033,2977,2257,29257,13519,3457,5698,4567,2016,912,387,518,1290,31
2011,Trafford,E08000009,Total,162806,118064,106854,22799,68201,15854,6136,5074,44742,21729,7200,6426,6499,2888,1682,1218,803,2377,80337,62217,56018,5109,39753,11156,3845,2354,18120,9210,3724,523,3461,1202,1109,857,488,1465,82469,55847,50836,17690,28448,4698,2291,2720,26622,12519,3476,5903,3038,1686,573,361,315,912,32
2011,Wigan,E08000010,Total,236495,162781,145028,32880,94703,17445,11483,6270,73714,38211,8293,8302,14652,4256,3594,1854,1696,4652,118531,87048,77239,6563,57459,13217,7129,2680,31483,16773,3934,1093,7718,1965,2284,1278,1033,2714,117964,75733,67789,26317,37244,4228,4354,3590,42231,21438,4359,7209,6934,2291,1310,576,663,1938,33
2011,Burnley,E07000117,Total,63376,41879,36907,9129,23187,4591,3342,1630,21497,9745,2749,2876,4433,1694,1081,552,527,1352,31390,22473,19817,2422,13962,3433,1963,693,8917,4126,1367,337,2379,708,597,369,266,757,31986,19406,17090,6707,9225,1158,1379,937,12580,5619,1382,2539,2054,986,484,183,261,595,34
2011,Chorley,E07000118,Total,79951,56645,52009,11542,33167,7300,2588,2048,23306,12899,2590,2279,3262,2276,767,487,307,993,40664,30116,27628,2594,19813,5221,1657,831,10548,5600,1295,265,1708,1680,510,327,194,623,39287,26529,24381,8948,13354,2079,931,1217,12758,7299,1295,2014,1554,596,257,160,113,370,35
2011,Fylde,E07000119,Total,54544,36447,33285,7374,20222,5689,1687,1475,18097,11262,1785,1699,2161,1190,469,377,150,628,26993,19148,17501,1622,11959,3920,1038,609,7845,4828,927,188,1155,747,306,233,114,365,27551,17299,15784,5752,8263,1769,649,866,10252,6434,858,1511,1006,443,163,144,36,263,36
2011,Hyndburn,E07000120,Total,58356,39118,34663,7902,22029,4732,2688,1767,19238,8803,2513,2600,3912,1410,977,399,435,994,29118,21041,18675,1940,13163,3572,1603,763,8077,3756,1251,324,2143,603,587,259,254,587,29238,18077,15988,5962,8866,1160,1085,1004,11161,5047,1262,2276,1769,807,390,140,181,407,37
2011,Lancaster,E07000121,Total,103296,67262,58498,14852,34812,8834,3362,5402,36034,15718,11219,2915,4431,1751,1010,676,487,1325,50250,34529,30205,3162,20931,6112,2093,2231,15721,6792,5342,341,2335,911,675,452,306,763,53046,32733,28293,11690,13881,2722,1269,3171,20313,8926,5877,2574,2096,840,335,224,181,562,38
2011,Pendle,E07000122,Total,64440,42765,37965,9036,23179,5750,3012,1788,21675,9753,2650,3700,3921,1651,951,475,515,1194,32035,23526,20885,2478,14076,4331,1813,828,8509,4196,1247,379,2043,644,547,338,280,702,32405,19239,17080,6558,9103,1419,1199,960,13166,5557,1403,3321,1878,1007,404,137,235,492,39
2011,Preston,E07000123,Total,104085,70509,59350,14188,38229,6933,4575,6584,33576,12147,8538,4579,5594,2718,1370,674,740,1835,52685,37921,32134,3707,23249,5178,2854,2933,14764,5406,4508,480,3003,1367,822,466,429,1119,51400,32588,27216,10481,14980,1755,1721,3651,18812,6741,4030,4099,2591,1351,548,208,311,716,40
2011,Ribble Valley,E07000124,Total,41285,29672,27612,6023,16105,5484,852,1208,11613,7431,1504,979,1128,571,223,250,74,294,20436,15488,14507,1161,9537,3809,521,460,4948,3140,811,63,632,302,160,157,39,167,20849,14184,13105,4862,6568,1675,331,748,6665,4291,693,916,496,269,63,93,35,127,41
2011,Rossendale,E07000125,Total,50075,35186,31864,6794,20067,5003,2090,1232,14889,7372,2148,1809,2715,845,673,383,304,840,24867,18493,16634,1461,11623,3550,1345,514,6374,3206,1106,212,1461,389,427,278,198,518,25208,16693,15230,5333,8444,1453,745,718,8515,4166,1042,1597,1254,456,246,105,106,322,42
2011,South Ribble,E07000126,Total,80458,58577,53816,11969,35168,6679,2421,2340,21881,13286,2677,2136,2803,979,820,450,272,823,39603,30469,28022,2282,20898,4842,1486,961,9134,5749,1361,221,1408,395,532,307,175,462,40855,28108,25794,9687,14270,1837,935,1379,12747,7537,1316,1915,1395,584,288,143,97,361,43
2011,West Lancashire,E07000127,Total,81601,55680,48969,11504,29658,7807,3180,3531,25921,13888,4668,2673,3515,1177,943,652,430,1315,39687,29013,25603,2096,17814,5693,1947,1463,10674,5906,2208,307,1767,486,623,425,251,759,41914,26667,23366,9408,11844,2114,1233,2068,15247,7982,2460,2366,1748,691,320,227,179,556,44
2011,Wyre,E07000128,Total,77663,51450,46576,11298,26923,8355,2464,2410,26213,16467,3010,2247,3443,1046,741,519,261,910,38127,26832,24205,2293,15871,6041,1554,1073,11295,7098,1642,294,1792,469,505,342,170,537,39536,24618,22371,9005,11052,2314,910,1337,14918,9369,1368,1953,1651,577,236,177,91,373,45
2011,Knowsley,E08000011,Total,106155,69617,59456,15173,38065,6218,6926,3235,36538,14415,5127,4822,9333,2841,2065,1165,1342,2841,50380,35112,29687,2868,21927,4892,4130,1295,15268,6126,2550,701,4701,1190,1277,806,755,1628,55775,34505,29769,12305,16138,1326,2796,1940,21270,8289,2577,4121,4632,1651,788,359,587,1213,46
2011,Liverpool,E08000012,Total,356876,226270,182270,44816,116778,20676,23980,20020,130606,41070,36781,13683,28453,10619,6416,3647,4727,9889,178369,118531,94214,11532,66943,15739,15500,8817,59838,18141,18948,1941,15430,5378,4037,2518,2916,6339,178507,107739,88056,33284,49835,4937,8480,11203,70768,22929,17833,11742,13023,5241,2379,1129,1811,3550,47
2011,Sefton,E08000014,Total,198197,133012,117085,29799,71019,16267,9708,6219,65185,34329,8676,6705,11612,3863,2799,2009,1460,4015,96097,68496,59703,6302,41190,12211,6164,2629,27601,14385,4418,869,5973,1956,1870,1352,959,2437,102100,64516,57382,23497,29829,4056,3544,3590,37584,19944,4258,5836,5639,1907,929,657,501,1578,48
2011,St. Helens,E08000013,Total,129584,86121,76158,18169,49968,8021,6640,3323,43463,22144,5294,4971,8638,2416,2056,1087,1190,2752,64136,45263,39725,3563,30083,6079,4108,1430,18873,9713,2624,721,4682,1133,1279,776,686,1663,65448,40858,36433,14606,19885,1942,2532,1893,24590,12431,2670,4250,3956,1283,777,311,504,1089,49
2011,Wirral,E08000015,Total,230851,153240,135543,34513,83696,17334,11939,5758,77611,38761,10491,9046,14724,4589,3638,2376,1994,4865,111886,79105,69332,7321,49553,12458,7318,2455,32781,16773,5175,1109,7717,2007,2324,1581,1259,2867,118965,74135,66211,27192,34143,4876,4621,3303,44830,21988,5316,7937,7007,2582,1314,795,735,1998,50
2011,East Riding of Yorkshire,E06000011,Total,245594,168860,153451,37856,90761,24834,8795,6614,76734,47790,9149,7849,7720,4226,2451,2006,1082,3392,121557,89224,80966,6939,56746,17281,5367,2891,32333,20418,4726,718,4078,2393,1532,1349,632,1931,124037,79636,72485,30917,34015,7553,3428,3723,44401,27372,4423,7131,3642,1833,919,657,450,1461,51
2011,"Kingston upon Hull, City of",E06000010,Total,190610,128130,105890,28041,68035,9814,15296,6944,62480,23025,13243,9482,11524,5206,4301,2311,2624,7003,96532,69585,56590,5817,43183,7590,9746,3249,26947,9964,7052,1197,6184,2550,2696,1610,1519,4344,94078,58545,49300,22224,24852,2224,5550,3695,35533,13061,6191,8285,5340,2656,1605,701,1105,2659,52
2011,North East Lincolnshire,E06000012,Total,115823,79227,68609,19086,42039,7484,7486,3132,36596,18018,4825,5635,5612,2506,2313,1299,1118,3143,57363,42619,36760,3641,27615,5504,4468,1391,14744,7685,2457,581,2989,1032,1401,865,639,1719,58460,36608,31849,15445,14424,1980,3018,1741,21852,10333,2368,5054,2623,1474,912,434,479,1424,53
2011,North Lincolnshire,E06000013,Total,122329,84668,75915,18768,48278,8869,5869,2884,37661,20296,4569,5433,5151,2212,1762,1080,952,2355,61060,45827,41137,3302,31695,6140,3464,1226,15233,8912,2304,476,2670,871,1050,730,538,1307,61269,38841,34778,15466,16583,2729,2405,1658,22428,11384,2265,4957,2481,1341,712,350,414,1048,54
2011,York,E06000014,Total,149789,104945,91847,22487,57032,12328,4582,8516,44844,20688,14387,4107,3678,1984,1341,894,485,1662,73497,54200,47712,4792,34387,8533,2795,3693,19297,8803,7274,413,1979,828,842,602,300,945,76292,50745,44135,17695,22645,3795,1787,4823,25547,11885,7113,3694,1699,1156,499,292,185,717,55
2011,Craven,E07000163,Total,40056,28744,26704,6139,14540,6025,1003,1037,11312,7525,1300,1030,966,491,271,254,88,385,19618,15003,14005,1191,8648,4166,621,377,4615,3120,687,74,508,226,186,161,54,239,20438,13741,12699,4948,5892,1859,382,660,6697,4405,613,956,458,265,85,93,34,146,56
2011,Hambleton,E07000164,Total,65255,47068,43959,9843,25377,8739,1670,1439,18187,11809,1960,2043,1483,892,458,409,186,537,32555,25251,23631,1795,15781,6055,1004,616,7304,4934,1006,124,771,469,287,272,114,290,32700,21817,20328,8048,9596,2684,666,823,10883,6875,954,1919,712,423,171,137,72,247,57
2011,Harrogate,E07000165,Total,114038,84662,78711,16998,46509,15204,2931,3020,29376,17693,3789,3823,2586,1485,735,695,254,1058,56409,44960,41760,3189,28312,10259,1797,1403,11449,7324,1887,250,1333,655,496,459,167,604,57629,39702,36951,13809,18197,4945,1134,1617,17927,10369,1902,3573,1253,830,239,236,87,454,58
2011,Richmondshire,E07000166,Total,38652,29017,27166,5217,17121,4828,1116,735,9635,5761,937,1396,839,702,344,226,114,399,20878,17083,16167,1023,11936,3208,583,333,3795,2448,497,86,391,373,178,173,56,187,17774,11934,10999,4194,5185,1620,533,402,5840,3313,440,1310,448,329,166,53,58,212,59
2011,Ryedale,E07000167,Total,37581,26644,24785,5773,12760,6252,1029,830,10937,7005,1282,1175,945,530,304,261,98,368,18622,14154,13179,1002,8042,4135,608,367,4468,2940,691,85,479,273,184,172,61,213,18959,12490,11606,4771,4718,2117,421,463,6469,4065,591,1090,466,257,120,89,37,155,60
2011,Scarborough,E07000168,Total,79393,52245,46482,12834,24346,9302,3371,2392,27148,16117,3141,2785,3708,1397,942,738,341,1349,38822,27428,24251,2849,15063,6339,2101,1076,11394,6895,1668,310,1916,605,580,502,202,819,40571,24817,22231,9985,9283,2963,1270,1316,15754,9222,1473,2475,1792,792,362,236,139,530,61
2011,Selby,E07000169,Total,61831,45720,41990,9293,26298,6399,2154,1576,16111,9710,1883,2182,1586,750,646,455,251,789,30506,24076,22140,1499,16318,4323,1265,671,6430,4199,933,174,809,315,392,311,137,439,31325,21644,19850,7794,9980,2076,889,905,9681,5511,950,2008,777,435,254,144,114,350,62
2011,Barnsley,E08000016,Total,170405,113306,100751,24807,62841,13103,8738,3817,57099,28008,6225,7435,11925,3506,2942,1349,1639,3577,84670,60174,53208,4545,38854,9809,5357,1609,24496,12382,3138,914,6551,1511,1841,903,974,2054,85735,53132,47543,20262,23987,3294,3381,2208,32603,15626,3087,6521,5374,1995,1101,446,665,1523,63
2011,Doncaster,E08000017,Total,220877,147770,130306,33112,80998,16196,12697,4767,73107,34110,8765,10746,12958,6528,4134,2000,2138,4936,110475,79454,69533,6928,50870,11735,7900,2021,31021,14789,4271,1280,6884,3797,2592,1334,1266,2903,110402,68316,60773,26184,30128,4461,4797,2746,42086,19321,4494,9466,6074,2731,1542,666,872,2033,64
2011,Rotherham,E08000018,Total,187959,125899,111684,28830,68860,13994,9821,4394,62060,31117,7405,8864,10614,4060,3170,1693,1873,3917,93219,67294,59344,5557,43152,10635,6039,1911,25925,13751,3630,1080,5764,1700,1971,1184,1066,2345,94740,58605,52340,23273,25708,3359,3782,2483,36135,17366,3775,7784,4850,2360,1199,509,807,1572,65
2011,Sheffield,E08000019,Total,411004,270239,227822,56868,140933,30021,19626,22791,140765,52941,44212,16682,18418,8512,5909,3157,4013,7641,204595,143190,120104,13126,84666,22312,12547,10539,61405,23139,22790,1881,9864,3731,3719,2300,2365,4741,206409,127049,107718,43742,56267,7709,7079,12252,79360,29802,21422,14801,8554,4781,2190,857,1648,2900,66
2011,Bradford,E08000032,Total,366217,243727,210013,52795,125745,31473,21224,12490,122490,43961,23311,24487,18176,12555,6193,3188,5053,8391,181622,135004,115551,15717,76162,23672,13259,6194,46618,18518,11958,2089,9254,4799,3839,2240,2792,5179,184595,108723,94462,37078,49583,7801,7965,6296,75872,25443,11353,22398,8922,7756,2354,948,2261,3212,67
2011,Calderdale,E08000033,Total,148766,104893,93611,21923,57617,14071,7394,3888,43873,22405,6156,5844,6510,2958,2149,1418,1106,3009,73807,55794,49451,4778,34598,10075,4668,1675,18013,9531,3061,626,3545,1250,1384,991,652,1842,74959,49099,44160,17145,23019,3996,2726,2213,25860,12874,3095,5218,2965,1708,765,427,454,1167,68
2011,Kirklees,E08000034,Total,307194,209514,184331,44638,112199,27494,14465,10718,97680,44027,17593,15227,13504,7329,4398,2392,2672,5850,153650,114430,100357,10911,69065,20381,8982,5091,39220,18609,9305,1333,7112,2861,2737,1653,1484,3569,153544,95084,83974,33727,43134,7113,5483,5627,58460,25418,8288,13894,6392,4468,1661,739,1188,2281,69
2011,Leeds,E08000035,Total,560849,389929,333333,73507,217528,42298,26786,29810,170920,69446,46047,20435,22498,12494,7613,4454,4798,10856,276642,204788,174742,16468,127743,30531,16787,13259,71854,29269,22556,2197,11784,6048,4838,3085,2832,6700,284207,185141,158591,57039,89785,11767,9999,16551,99066,40177,23491,18238,10714,6446,2775,1369,1966,4156,70
