date,geography,geography code,Rural Urban,Sex: All persons; Economic Activity: All usual residents aged 16 to 74; measures: Value,Sex: All persons; Economic Activity: Economically active; measures: Value,Sex: All persons; Economic Activity: Economically active: In employment; measures: Value,Sex: All persons; Economic Activity: Economically active: Employee: Part-time; measures: Value,Sex: All persons; Economic Activity: Economically active: Employee: Full-time; measures: Value,Sex: All persons; Economic Activity: Economically active: Self-employed; measures: Value,Sex: All persons; Economic Activity: Economically active: Unemployed; measures: Value,Sex: All persons; Economic Activity: Economically active: Full-time student; measures: Value,Sex: All persons; Economic Activity: Economically Inactive; measures: Value,Sex: All persons; Economic Activity: Economically inactive: Retired; measures: Value,Sex: All persons; Economic Activity: Economically inactive: Student (including full-time students); measures: Value,Sex: All persons; Economic Activity: Economically inactive: Looking after home or family; measures: Value,Sex: All persons; Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value,Sex: All persons; Economic Activity: Economically inactive: Other; measures: Value,Sex: All persons; Economic Activity: Unemployed: Age 16 to 24; measures: Value,Sex: All persons; Economic Activity: Unemployed: Age 50 to 74; measures: Value,Sex: All persons; Economic Activity: Unemployed: Never worked; measures: Value,Sex: All persons; Economic Activity: Long-term unemployed; measures: Value,Sex: Males; Economic Activity: All usual residents aged 16 to 74; measures: Value,Sex: Males; Economic Activity: Economically active; measures: Value,Sex: Males; Economic Activity: Economically active: In employment; measures: Value,Sex: Males; Economic Activity: Economically active: Employee: Part-time; measures: Value,Sex: Males; Economic Activity: Economically active: Employee: Full-time; measures: Value,Sex: Males; Economic Activity: Economically active: Self-employed; measures: Value,Sex: Males; Economic Activity: Economically active: Unemployed; measures: Value,Sex: Males; Economic Activity: Economically active: Full-time student; measures: Value,Sex: Males; Economic Activity: Economically Inactive; measures: Value,Sex: Males; Economic Activity: Economically inactive: Retired; measures: Value,Sex: Males; Economic Activity: Economically inactive: Student (including full-time students); measures: Value,Sex: Males; Economic Activity: Economically inactive: Looking after home or family; measures: Value,Sex: Males; Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value,Sex: Males; Economic Activity: Economically inactive: Other; measures: Value,Sex: Males; Economic Activity: Unemployed: Age 16 to 24; measures: Value,Sex: Males; Economic Activity: Unemployed: Age 50 to 74; measures: Value,Sex: Males; Economic Activity: Unemployed: Never worked; measures: Value,Sex: Males; Economic Activity: Long-term unemployed; measures: Value,Sex: Females; Economic Activity: All usual residents aged 16 to 74; measures: Value,Sex: Females; Economic Activity: Economically active; measures: Value,Sex: Females; Economic Activity: Economically active: In employment; measures: Value,Sex: Females; Economic Activity: Economically active: Employee: Part-time; measures: Value,Sex: Females; Economic Activity: Economically active: Employee: Full-time; measures: Value,Sex: Females; Economic Activity: Economically active: Self-employed; measures: Value,Sex: Females; Economic Activity: Economically active: Unemployed; measures: Value,Sex: Females; Economic Activity: Economically active: Full-time student; measures: Value,Sex: Females; Economic Activity: Economically Inactive; measures: Value,Sex: Females; Economic Activity: Economically inactive: Retired; measures: Value,Sex: Females; Economic Activity: Economically inactive: Student (including full-time students); measures: Value,Sex: Females; Economic Activity: Economically inactive: Looking after home or family; measures: Value,Sex: Females; Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value,Sex: Females; Economic Activity: Economically inactive: Other; measures: Value,Sex: Females; Economic Activity: Unemployed: Age 16 to 24; measures: Value,Sex: Females; Economic Activity: Unemployed: Age 50 to 74; measures: Value,Sex: Females; Economic Activity: Unemployed: Never worked; measures: Value,Sex: Females; Economic Activity: Long-term unemployed; measures: Value,RowID
2011,Vale of White Horse,E07000180,Total,87477,65710,61185,12547,39197,9441,2190,2335,21767,12150,3400,3374,1682,1161,592,505,210,767,43680,35193,32858,2298,24230,6330,1268,1067,8487,5080,1887,207,803,510,374,327,135,409,43797,30517,28327,10249,14967,3111,922,1268,13280,7070,1513,3167,879,651,218,178,75,358,269
2011,West Oxfordshire,E07000181,Total,76163,58506,54940,10889,34599,9452,1730,1836,17657,10418,2302,2596,1394,947,507,410,166,623,37745,31041,29226,1801,21273,6152,982,833,6704,4332,1171,151,642,408,326,245,105,316,38418,27465,25714,9088,13326,3300,748,1003,10953,6086,1131,2445,752,539,181,165,61,307,270
2011,Elmbridge,E07000207,Total,92027,67522,62942,10910,38467,13565,2457,2123,24505,11239,4136,5852,1636,1642,521,660,229,941,44630,36313,33886,1913,23221,8752,1405,1022,8317,4584,2043,255,801,634,352,410,149,492,47397,31209,29056,8997,15246,4813,1052,1101,16188,6655,2093,5597,835,1008,169,250,80,449,271
2011,Epsom and Ewell,E07000208,Total,54170,39844,36449,7401,22696,6352,1480,1915,14326,7280,2785,2269,1127,865,371,345,138,526,26352,20963,19323,1362,13467,4494,843,797,5389,3053,1314,109,561,352,229,224,79,280,27818,18881,17126,6039,9229,1858,637,1118,8937,4227,1471,2160,566,513,142,121,59,246,272
2011,Guildford,E07000209,Total,102054,73649,65900,12432,41942,11526,2750,4999,28405,11556,8681,4517,1931,1720,630,671,272,1002,51043,39689,35770,2311,25794,7665,1599,2320,11354,4886,4611,263,953,641,395,433,164,545,51011,33960,30130,10121,16148,3861,1151,2679,17051,6670,4070,4254,978,1079,235,238,108,457,273
2011,Mole Valley,E07000210,Total,60778,44170,41169,8418,23808,8943,1529,1472,16608,9519,2324,2657,1277,831,407,381,164,574,30009,23627,22023,1459,14550,6014,939,665,6382,4041,1185,137,665,354,264,250,105,329,30769,20543,19146,6959,9258,2929,590,807,10226,5478,1139,2520,612,477,143,131,59,245,274
2011,Reigate and Banstead,E07000211,Total,99173,74614,69231,13429,43619,12183,2892,2491,24559,12278,3508,4354,2299,2120,758,674,341,1057,49136,39639,36842,2474,25806,8562,1658,1139,9497,5093,1803,273,1229,1099,497,420,225,538,50037,34975,32389,10955,17813,3621,1234,1352,15062,7185,1705,4081,1070,1021,261,254,116,519,275
2011,Runnymede,E07000212,Total,59793,42816,38321,7221,24716,6384,1630,2865,16977,7091,5476,2354,1135,921,389,433,176,640,29311,22648,20553,1410,14630,4513,949,1146,6663,3004,2527,149,580,403,244,276,114,347,30482,20168,17768,5811,10086,1871,681,1719,10314,4087,2949,2205,555,518,145,157,62,293,276
2011,Spelthorne,E07000213,Total,69916,52767,48765,9279,32475,7011,2277,1725,17149,9289,2260,2724,1586,1290,626,514,289,833,34663,27934,25890,1736,19170,4984,1287,757,6729,4039,1187,183,815,505,404,324,184,417,35253,24833,22875,7543,13305,2027,990,968,10420,5250,1073,2541,771,785,222,190,105,416,277
2011,Surrey Heath,E07000214,Total,62565,47016,43500,8500,27645,7355,1731,1785,15549,8441,2185,2727,1059,1137,489,416,206,604,31396,25315,23484,1602,16917,4965,981,850,6081,3605,1161,153,540,622,308,251,126,290,31169,21701,20016,6898,10728,2390,750,935,9468,4836,1024,2574,519,515,181,165,80,314,278
